zip_code,state_code,pop_total,median_household_income,pct_edu_hs,pct_edu_somecollege_under1yr,pct_edu_somecollege_1plusyrs,pct_edu_attain_assoc,pct_edu_attain_bach,pct_edu_attain_master,pct_edu_attain_prof,pct_edu_attain_doct,pct_white,pct_black,pct_asian,pct_hispanic,pct_amerindian,pct_nativehawaii,pct_tworaces,pct_otherrace
601,PR,17800,11507,24.1861,1.2198,12.9974,5.0812,15.5212,2.3387,0.2271,0.5973,0.1573,0,0,99.7978,0.0449,0,0,0
602,PR,39716,15511,18.3838,1.0237,8.3569,13.3921,13.9403,4.5524,0.7551,0.9947,3.8448,0.0554,0.1486,93.456,0,0,2.4172,0.0781
603,PR,51565,16681,23.6281,1.6381,10.2082,8.1205,16.3225,4.8049,0.8177,0.6687,1.2508,0.3607,0.3704,96.8254,0,0.0213,0.9367,0.2347
606,PR,6320,11648,32.7551,0.7076,4.0402,4.7021,7.9662,1.1185,0.3424,0.2967,0.1741,0,0,99.8259,0,0,0,0
610,PR,27976,17751,28.7571,1.3412,9.227,8.4109,12.3096,2.464,0.0624,0.7278,1.4691,0.0536,0,97.9196,0,0.0036,0.4432,0.1108
612,PR,63884,17208,26.1929,1.9348,11.7264,9.1543,17.3239,3.7823,0.8742,1.3988,0.2583,0.0157,0,99.6447,0.0172,0,0.0391,0.025
616,PR,10321,14490,27.7915,0.8948,10.6212,11.114,13.2408,2.6456,0.1686,0.4669,0.4554,0,0,99.5446,0,0,0,0
617,PR,24648,15645,32.436,0.5601,11.8759,11.3339,13.3875,3.0111,0,0.277,0.3976,0.1217,0.0446,99.363,0,0,0.073,0
622,PR,7385,16784,24.3954,0,12.1882,6.6083,15.2923,3.2756,0,2.1329,0.8802,0,0,99.1198,0,0,0,0
623,PR,42711,17134,22.6774,1.3263,8.5082,9.3946,20.0316,3.7337,0.5305,1.4505,0.1405,0,0,99.8595,0,0,0,0
624,PR,23945,16764,29.1602,1.376,9.5615,10.4295,16.1844,2.064,0.4887,0.4887,0.3257,0,0,99.6743,0,0,0,0
627,PR,33481,17206,25.236,1.0752,11.639,8.1031,16.3024,3.8811,0.4108,0.6163,0.684,0.0418,0,99.2742,0,0,0,0
631,PR,1689,7948,21.1838,0.4673,14.0966,4.595,14.9533,0.8567,0,0,0.5329,0,0,99.4671,0,0,0,0
637,PR,24013,14877,32.6181,1.4081,8.8632,8.3938,16.4645,2.2127,0.2804,0.5791,0.7204,0,0,99.2796,0,0,0,0
638,PR,17795,12486,26.458,1.1966,8.2085,11.4133,12.3588,1.1882,0.2259,0.159,0.3821,0,0,99.6179,0,0,0,0
641,PR,28925,16181,26.7287,1.668,11.5851,8.3502,15.3811,2.0875,0.4499,0.5156,0.3665,0.0415,0,99.592,0,0,0,0
646,PR,38292,27967,23.5181,1.4417,11.1577,7.7414,21.8609,5.716,1.4966,1.144,1.4311,0.1254,0.0862,98.232,0,0,0,0.1254
647,PR,5711,13312,35.1351,0.7893,7.3667,4.4965,12.8917,2.5592,0.861,0.1196,0,0,0,100,0,0,0,0
650,PR,14569,15807,37.4766,1.0106,12.638,11.2419,10.9189,0.3542,0.125,0,0.4187,0,0,99.5813,0,0,0,0
652,PR,3893,19497,28.3268,3.1907,12.4514,5.7977,18.1323,4.0856,0,0.8949,0.411,0,0,99.589,0,0,0,0
653,PR,12125,13175,35.0879,0.4648,6.5075,7.7261,10.1884,3.1784,0.0879,0.603,0.4619,0,0,99.5381,0,0,0,0
656,PR,19996,14828,26.7532,1.5139,8.987,11.577,16.9573,2.1447,0.4675,0.7495,0.3651,0,0.075,99.5249,0,0,0,0.035
659,PR,41327,18480,19.2635,0.5181,9.0874,12.763,17.8948,5.5659,0.3466,0.6231,0.1863,0,0,99.8137,0,0,0,0
660,PR,16678,20589,24.7579,1.4403,12.6811,6.7792,17.6144,4.1884,0.6125,0.687,0.3298,0.2278,0,99.4424,0,0,0,0
662,PR,41986,16291,27.9305,0.4996,11.0399,8.4212,14.8336,5.0996,0.3136,0.3687,0.9194,0.2477,0,98.5495,0,0,0,0.2834
664,PR,15693,15749,34.4936,0.424,10.709,5.7884,11.9515,3.7669,0,0.3846,0.1593,0,0,99.8407,0,0,0,0
667,PR,24492,12736,24.7375,0.6208,8.4237,10.8023,11.0634,2.9123,0.5918,0.9456,0.1184,0,0,99.8816,0,0,0,0
669,PR,27063,12552,21.9171,0.3776,14.0091,5.9445,13.3779,2.8914,0.2697,0.1456,0.3954,0.0259,0,99.4716,0,0,0.1072,0
670,PR,9087,13209,28.1123,0.6492,4.3662,4.2363,11.7838,2.2886,0.0974,0.0162,1.0234,0,0,98.9766,0,0,0,0
674,PR,41545,18549,24.6579,1.365,10.3737,10.6289,17.7551,2.9497,0.4715,0.8225,1.0519,0.2576,0,98.6111,0,0,0.0385,0.0409
676,PR,38488,14149,26.8657,1.2282,9.6743,5.5892,14.1791,3.1211,0.7152,0.5053,0.33,0,0,99.127,0.0026,0.0468,0.1455,0.3482
677,PR,14755,17881,22.3976,1.3623,7.1965,12.3356,14.7313,3.4573,0,1.5784,5.8014,0,0.183,90.3016,0,0,3.714,0
678,PR,26490,15208,27.9938,0.6186,13.2512,11.445,12.7375,1.9057,0.2154,0.7954,0.5625,0.302,0,99.0676,0,0,0,0.068
680,PR,50628,14575,26.7148,1.7456,11.0221,5.2984,13.3134,3.3298,0.5985,1.7867,0.5096,0.0948,0.0375,99.3087,0,0.0119,0.0296,0.0079
682,PR,32433,15804,21.708,2.8944,10.2588,5.6357,19.0013,5.4628,1.2249,2.7561,0.7492,0.0031,0.0709,98.8345,0,0,0.111,0.2312
683,PR,32058,15198,26.6231,1.3874,9.0225,6.3429,16.9296,4.5112,0.5486,1.1153,0.3244,0.0717,0,99.5571,0,0,0,0.0468
685,PR,40102,13840,22.0506,1.4048,10.9805,7.0778,14.127,2.419,0.5376,0.2401,0.7606,0,0,99.0873,0,0,0,0.1521
687,PR,32087,17649,25.571,1.4107,11.7946,10.4942,13.5893,2.9127,0.1104,0.6286,0.0904,0,0,99.7725,0.0561,0,0,0.081
688,PR,12797,14697,31.7309,0.6294,8.7141,10.0814,12.7727,2.1161,0.4883,0,0.8752,0,0.0703,99.0545,0,0,0,0
690,PR,5328,20668,23.7732,0,4.3893,6.434,27.9716,6.2432,1.5812,0.6816,1.22,0,0,95.0263,0,0,3.7538,0
692,PR,36700,18593,22.0413,2.9504,11.5165,9.157,14.1364,4.6694,0.7149,0.6983,1.1989,0.0436,0.0354,98.346,0,0,0.1662,0.2098
693,PR,57428,17624,12.187,4.7024,7.5713,11.1669,15.6398,3.8226,0.329,0.6018,3.1117,0.1132,0,96.6967,0,0.0017,0,0.0766
694,PR,66,10550,0,21.2121,0,22.7273,0,0,0,0,0,0,0,100,0,0,0,0
698,PR,38502,14734,26.7799,1.5564,8.7508,7.591,16.7683,3.3858,0.9391,0.6136,0.3376,0,0.0156,99.6468,0,0,0,0
703,PR,27797,15276,27.8179,2.1605,9.5642,7.625,10.987,2.3449,0.4848,0.0738,0.6511,0,0,99.3489,0,0,0,0
704,PR,8390,14528,25.5752,0.9011,9.3175,13.2669,13.3436,5.5982,0.2492,0.5943,0.1311,0.2265,0.2026,98.5221,0,0,0.9178,0
705,PR,24387,17893,31.4448,1.6367,9.9161,7.446,15.2638,4.8501,0.3118,0.4856,0.2255,0.0246,0.0779,99.5899,0,0,0,0.082
707,PR,11506,18815,22.274,0.479,14.6225,8.7483,13.0216,2.7606,0,0.2017,1.2428,0,0,98.7572,0,0,0,0
714,PR,18640,16538,36.0136,1.7392,9.4888,9.9741,14.2372,2.3621,0.2912,0,0.1556,0,0,99.8444,0,0,0,0
715,PR,3692,12229,25.9802,2.0198,12.396,4.5149,7.4059,0.2772,0,1.3069,0,0.9209,0,99.0791,0,0,0,0
716,PR,29351,18595,24.5731,1.6002,10.8742,7.147,22.3778,5.7323,2.088,2.2831,0.7019,0.0647,0.0034,99.23,0,0,0,0
717,PR,17958,11597,28.4035,1.3879,10.8911,9.6888,17.8925,5.3571,1.7592,1.6796,0.6849,0.1782,0.4065,98.7304,0,0,0,0
718,PR,26460,18906,26.8699,0.4975,10.6438,8.5035,16.2261,2.9618,0.1851,0.2025,0.1965,0,0,99.5805,0,0,0,0.223
719,PR,30094,19247,22.7747,2.3799,15.3134,11.1919,13.458,2.2166,0.4997,0.0495,0.1296,0,0,99.7209,0,0,0,0.1495
720,PR,22148,14845,29.0755,1.3207,8.0707,6.2679,13.3883,2.0963,0.0559,0.014,0.2077,0,0,99.7923,0,0,0,0
723,PR,18135,13975,29.892,0.9916,14.8741,8.1487,11.4834,3.3267,0.1279,0.7037,0.193,0,0,99.7408,0,0.0662,0,0
725,PR,83479,20072,24.8677,2.2021,11.1765,8.798,20.2557,5.0574,0.7125,1.0129,0.7834,0.0539,0.0204,99.0429,0,0,0.0503,0.0491
727,PR,57079,30890,20.4435,1.6073,10.7588,11.6732,22.4449,7.6319,1.2235,2.0966,0.9636,0,0,99.0364,0,0,0,0
728,PR,41245,18099,27.2767,1.3977,10.8924,10.9363,19.5163,4.0064,0.7903,0.6952,0.4413,0.0897,0,99.4593,0,0,0,0.0097
729,PR,52897,20805,26.0804,1.9353,9.8048,11.3147,15.1653,3.5994,0.2027,0.5595,0.1021,0.0359,0.1342,99.7051,0,0,0,0.0227
730,PR,33899,15046,29.5202,1.5525,9.2888,7.6219,16.5281,3.7076,1.2535,1.4998,0.9705,0.0206,0,99.0088,0,0,0,0
731,PR,14988,16171,32.168,0.9205,8.0298,5.6698,17.6949,1.9291,0.1371,0.7442,0.4137,0,0,99.5863,0,0,0,0
735,PR,12798,20204,33.1522,1.5167,13.8993,9.1115,12.3939,4.6633,0.0566,0.2037,0.9455,0,0.0703,98.8514,0,0,0.1328,0
736,PR,49841,20571,27.2835,1.2763,9.0239,8.2669,16.6526,5.546,0.8035,0.702,0.4855,0.0201,0.1304,99.362,0,0,0,0.002
738,PR,32409,19809,27.9067,2.2466,12.8483,8.6296,17.7442,3.8572,0.4987,0.5353,0.722,0.1018,0.1358,99.0404,0,0,0,0
739,PR,37558,21818,27.5598,0.989,11.1168,8.9523,16.7368,5.1315,0.8976,0.6196,0.3195,0,0.0213,99.6592,0,0,0,0
740,PR,1503,14500,38.3475,1.1653,6.4619,9.5339,6.6737,1.1653,1.1653,0,0,0,0,100,0,0,0,0
741,PR,5042,20363,29.3469,2.0942,21.4935,14.9352,8.4321,2.5627,0,0.248,0,0,0,100,0,0,0,0
745,PR,53395,23344,28.2197,1.5615,9.6258,11.8284,15.5096,3.9272,0.4228,0.5969,0.4869,0,0,99.4756,0,0,0.0375,0
